date,competition,url,id,country,competition_class,season,race_type,category,discipline
26 Oct 2019,Grand Prix Podbrezová,https://dataride.uci.org/iframe/CompetitionResults/58040?disciplineId=3,58040,SVK,C1,2020,All,All,Cyclo-cross
26 Oct-27 Oct 2019,Russian National Championships,https://dataride.uci.org/iframe/CompetitionResults/58572?disciplineId=3,58572,RUS,CN,2020,All,All,Cyclo-cross
22 Oct 2019,Kiremko Nacht van Woerden,https://dataride.uci.org/iframe/CompetitionResults/57847?disciplineId=3,57847,NED,C2,2020,All,All,Cyclo-cross
20 Oct 2019,"2019-2020 Telenet UCI Cyclo-cross World Cup, Bern",https://dataride.uci.org/iframe/CompetitionResults/57742?disciplineId=3,57742,SUI,CDM,2020,All,All,Cyclo-cross
20 Oct 2019,Tage des Querfeldeinsports (Day of Cyclocross),https://dataride.uci.org/iframe/CompetitionResults/57810?disciplineId=3,57810,AUT,C2,2020,All,All,Cyclo-cross
20 Oct 2019,Stockholm cyclocross,https://dataride.uci.org/iframe/CompetitionResults/57850?disciplineId=3,57850,SWE,C2,2020,All,All,Cyclo-cross
20 Oct 2019,DCCX,https://dataride.uci.org/iframe/CompetitionResults/57864?disciplineId=3,57864,USA,C2,2020,All,All,Cyclo-cross
20 Oct 2019,Il Melo Cup,https://dataride.uci.org/iframe/CompetitionResults/58697?disciplineId=3,58697,ITA,C2,2020,All,All,Cyclo-cross
19 Oct 2019,Telenet Superprestige De Schorre Boom,https://dataride.uci.org/iframe/CompetitionResults/57809?disciplineId=3,57809,BEL,C2,2020,All,All,Cyclo-cross
19 Oct 2019,DCCX,https://dataride.uci.org/iframe/CompetitionResults/57861?disciplineId=3,57861,USA,C2,2020,All,All,Cyclo-cross
19 Oct 2019,CX Täby Park,https://dataride.uci.org/iframe/CompetitionResults/57889?disciplineId=3,57889,SWE,C2,2020,All,All,Cyclo-cross
17 Oct 2019,Kermiscross,https://dataride.uci.org/iframe/CompetitionResults/57808?disciplineId=3,57808,BEL,C2,2020,All,All,Cyclo-cross
13 Oct 2019,Charm City Cross,https://dataride.uci.org/iframe/CompetitionResults/57859?disciplineId=3,57859,USA,C2,2020,All,All,Cyclo-cross
13 Oct 2019,Internationales Radquer Steinmaur,https://dataride.uci.org/iframe/CompetitionResults/57891?disciplineId=3,57891,SUI,C2,2020,All,All,Cyclo-cross
13 Oct 2019,Telenet Superprestige Gieten,https://dataride.uci.org/iframe/CompetitionResults/57895?disciplineId=3,57895,NED,C1,2020,All,All,Cyclo-cross
13 Oct 2019,Grand Prix Trnava,https://dataride.uci.org/iframe/CompetitionResults/58041?disciplineId=3,58041,SVK,C2,2020,All,All,Cyclo-cross
13 Oct 2019,1ere manche de Coupe de France Cyclo-cross,https://dataride.uci.org/iframe/CompetitionResults/58092?disciplineId=3,58092,FRA,C2,2020,All,All,Cyclo-cross
13 Oct 2019,US Open of Cyclocross Day 2,https://dataride.uci.org/iframe/CompetitionResults/58277?disciplineId=3,58277,USA,C2,2020,All,All,Cyclo-cross
12 Oct 2019,Polderscross,https://dataride.uci.org/iframe/CompetitionResults/57806?disciplineId=3,57806,BEL,C2,2020,All,All,Cyclo-cross
12 Oct 2019,Toi Toi Cup,https://dataride.uci.org/iframe/CompetitionResults/57837?disciplineId=3,57837,CZE,C2,2020,All,All,Cyclo-cross
12 Oct 2019,Estonian National Championships,https://dataride.uci.org/iframe/CompetitionResults/57840?disciplineId=3,57840,EST,CN,2020,All,All,Cyclo-cross
12 Oct 2019,Charm City Cross,https://dataride.uci.org/iframe/CompetitionResults/57858?disciplineId=3,57858,USA,C2,2020,All,All,Cyclo-cross
12 Oct 2019,US Open of Cyclocross Day 1,https://dataride.uci.org/iframe/CompetitionResults/58276?disciplineId=3,58276,USA,C2,2020,All,All,Cyclo-cross
06 Oct 2019,GP Pelt,https://dataride.uci.org/iframe/CompetitionResults/57811?disciplineId=3,57811,BEL,C2,2020,All,All,Cyclo-cross
06 Oct 2019,EKZ CrossTour,https://dataride.uci.org/iframe/CompetitionResults/57849?disciplineId=3,57849,SUI,C1,2020,All,All,Cyclo-cross
06 Oct 2019,National Trophy Series Round 2: Milnthorpe,https://dataride.uci.org/iframe/CompetitionResults/57875?disciplineId=3,57875,GBR,C2,2020,All,All,Cyclo-cross
06 Oct 2019,FayetteCross,https://dataride.uci.org/iframe/CompetitionResults/57883?disciplineId=3,57883,USA,C2,2020,All,All,Cyclo-cross
06 Oct 2019,Grand Prix Rakova,https://dataride.uci.org/iframe/CompetitionResults/58039?disciplineId=3,58039,SVK,C2,2020,All,All,Cyclo-cross
05 Oct 2019,Berencross,https://dataride.uci.org/iframe/CompetitionResults/57804?disciplineId=3,57804,BEL,C2,2020,All,All,Cyclo-cross
05 Oct 2019,Toi Toi Cup,https://dataride.uci.org/iframe/CompetitionResults/57836?disciplineId=3,57836,CZE,C2,2020,All,All,Cyclo-cross
05 Oct 2019,FayetteCross,https://dataride.uci.org/iframe/CompetitionResults/57882?disciplineId=3,57882,USA,C2,2020,All,All,Cyclo-cross
29 Sep 2019,Chilean National Championships,https://dataride.uci.org/iframe/CompetitionResults/57953?disciplineId=3,57953,CHI,CN,2020,All,All,Cyclo-cross
29 Sep 2019,Grand Prix Poprad,https://dataride.uci.org/iframe/CompetitionResults/58036?disciplineId=3,58036,SVK,C1,2020,All,All,Cyclo-cross
29 Sep 2019,Canyon Cross Race,https://dataride.uci.org/iframe/CompetitionResults/58388?disciplineId=3,58388,FRA,C2,2020,All,All,Cyclo-cross
28 Sep 2019,Toi Toi Cup,https://dataride.uci.org/iframe/CompetitionResults/57951?disciplineId=3,57951,CZE,C1,2020,All,All,Cyclo-cross
28 Sep 2019,Chazal Cup Vittel,https://dataride.uci.org/iframe/CompetitionResults/58387?disciplineId=3,58387,FRA,C2,2020,All,All,Cyclo-cross
